step,time,dt,maps,lines,max_per_line,rejected,rejected_pct,truncated,drawn,maps_per_sec
34,1.614045288e-07,1.008617606e-08,409,307200,2,357809,99.88582372,0,358218,40550551325.593254
35,1.714907048e-07,1.059048487e-08,421,307200,2,370633,99.88653943,0,371054,39752665262.058014
36,1.820811897e-07,1.112000911e-08,437,307200,2,383413,99.88615345,0,383850,39298528955.97133
37,1.932011988e-07,1.167600957e-08,490,307200,2,408940,99.88032142,0,409430,41966392461.5985
38,2.048772084e-07,1.225981004e-08,504,307200,2,421730,99.88063491,0,422234,41109935501.08872
39,2.171370184e-07,1.287280055e-08,533,307200,3,447279,99.88097684,0,447812,41405131535.266426
40,2.30009819e-07,1.351644057e-08,509,307200,2,460163,99.88950924,0,460672,37657843229.062485
41,2.435262595e-07,1.41922626e-08,589,307200,2,485645,99.87886491,0,486234,41501486873.55884
42,2.577185221e-07,1.490187573e-08,628,307200,2,511190,99.87730013,0,511818,42142345794.47805
43,2.726203979e-07,1.564696952e-08,634,307200,2,536748,99.88202061,0,537382,40519028249.50349
44,2.882673674e-07,1.642931799e-08,661,307200,2,549625,99.87988064,0,550286,40232954307.80083
45,3.046966854e-07,1.725078389e-08,658,307200,2,575246,99.88574485,0,575904,38143194198.9275
46,3.219474693e-07,1.811332309e-08,687,307200,3,600807,99.8857844,0,601494,37927883060.79953
47,3.400607924e-07,1.901898924e-08,737,307200,3,639089,99.88481243,0,639826,38750744884.484726
48,3.590797816e-07,1.972712482e-08,837,307200,2,651880,99.87176678,0,652717,42428889543.57008
49,3.788069064e-07,1.97210043e-08,798,307200,2,651913,99.87774068,0,652711,40464470665.928505
50,3.985279107e-07,1.971277843e-08,798,307200,2,639207,99.87531347,0,640005,40481355930.3015
51,4.182406892e-07,1.964432576e-08,791,307200,2,639183,99.87640123,0,639974,40266080376.78968
52,4.378850149e-07,1.964433367e-08,831,307200,3,639143,99.87015097,0,639974,42302274740.3781
53,4.575293486e-07,1.966715133e-08,770,307200,2,626533,99.8772523,0,627303,39151577525.38634
54,4.771964999e-07,1.967207207e-08,810,307200,3,626461,99.87086921,0,627271,41175123653.35697
55,4.96868572e-07,1.964508606e-08,794,307200,3,626449,99.87341429,0,627243,40417231951.79527
56,5.165136581e-07,1.961817676e-08,784,307200,2,626406,99.87499801,0,627190,39962938941.32494
57,5.361318348e-07,1.959384635e-08,818,307200,3,613730,99.86689404,0,614548,41747801089.60077
58,5.557256812e-07,1.957209743e-08,736,307200,2,613803,99.88023543,0,614539,37604554270.80919
59,5.752977786e-07,1.955306065e-08,817,307200,2,613697,99.86704941,0,614514,41783739877.06114
60,5.948508392e-07,1.953684243e-08,754,307200,2,601086,99.87471753,0,601840,38593749358.503685
61,6.143876817e-07,1.952412393e-08,757,307200,2,601056,99.87421342,0,601813,38772546349.02331
62,6.339118056e-07,1.951435577e-08,765,307200,2,601041,99.87288262,0,601806,39201909046.675125
63,6.534261614e-07,1.950824489e-08,781,307200,2,588383,99.86743929,0,589164,40034354930.63467
64,6.729344063e-07,1.950690186e-08,799,307200,2,588334,99.86437697,0,589133,40959861577.936905
65,6.924413081e-07,1.951064595e-08,743,307200,2,588375,99.87387926,0,589118,38081773504.78752
66,7.119519541e-07,1.951897976e-08,748,307200,3,588364,99.87302924,0,589112,38321675066.893974
67,7.314709338e-07,1.953158457e-08,731,307200,3,588377,99.87591409,0,589108,37426558883.64515
68,7.510025184e-07,1.954860442e-08,732,307200,2,575752,99.87302336,0,576484,37445128269.67317
69,7.705511228e-07,1.956948195e-08,697,307200,3,575778,99.87909276,0,576475,35616681207.03625
70,7.901206048e-07,1.959368016e-08,764,307200,2,575721,99.8674727,0,576485,38992164502.08708
71,8.097142849e-07,1.962093047e-08,785,307200,3,575690,99.86382757,0,576475,40008296303.799095
72,8.293352154e-07,1.963664918e-08,819,307200,2,575665,99.85793188,0,576484,41707726837.33407
73,8.489718646e-07,1.961754993e-08,794,307200,2,563054,99.85918191,0,563848,40473963508.856995
74,8.685894145e-07,1.959932958e-08,736,307200,2,563075,99.8694598,0,563811,37552304888.58385
75,8.881887441e-07,1.958205441e-08,756,307200,2,563025,99.86590538,0,563781,38606776601.229965
76,9.077707985e-07,1.956571082e-08,739,307200,3,563029,99.86891771,0,563768,37770158559.46295
77,9.273365093e-07,1.955023107e-08,721,307200,2,550465,99.86919116,0,551186,36879359503.14064
78,9.468867404e-07,1.953552235e-08,712,307200,2,550399,99.87080643,0,551111,36446427550.98893
79,9.664222627e-07,1.952149353e-08,719,307200,2,550381,99.86953366,0,551100,36831198335.058945
80,9.859437563e-07,1.950800566e-08,733,307200,2,550344,99.86698773,0,551077,37574317578.909294
81,1.005451762e-06,1.949484877e-08,737,307200,2,550327,99.86625873,0,551064,37804858539.56178
82,1.024946611e-06,1.948176714e-08,768,307200,3,537691,99.85737076,0,538459,39421475191.7007
83,1.044428378e-06,1.946853481e-08,790,307200,2,537651,99.85328012,0,538441,40578297633.07185
84,1.063896913e-06,1.945490655e-08,778,307200,2,537650,99.85550529,0,538428,39989911953.59918
85,1.083351819e-06,1.943895227e-08,728,307200,2,537673,99.8647848,0,538401,37450578091.26459
86,1.102790771e-06,1.941973287e-08,668,307200,3,525179,99.87296685,0,525847,34398001479.821594
87,1.122210504e-06,1.939901164e-08,755,307200,3,525011,99.8564,0,525766,38919508581.7269
88,1.141609516e-06,1.937727245e-08,759,307200,2,524975,99.85563041,0,525734,39169599434.51691
89,1.160986788e-06,1.935535965e-08,727,307200,2,524960,99.86170478,0,525687,37560655712.228004
90,1.180342148e-06,1.93341239e-08,700,307200,3,524976,99.86683813,0,525676,36205416062.322845
91,1.199676272e-06,1.93141042e-08,726,307200,3,512379,99.85850849,0,513105,37589110656.2426
92,1.218990376e-06,1.929554382e-08,734,307200,2,512316,99.85693402,0,513050,38039871114.65615
93,1.23828592e-06,1.927835691e-08,664,307200,3,512330,99.87056379,0,512994,34442769324.162285
94,1.257564277e-06,1.926149265e-08,727,307200,3,512254,99.85827935,0,512981,37743699993.05324
95,1.27682577e-06,1.924497249e-08,722,307200,3,512246,99.85925048,0,512968,37516291612.01259
96,1.296070742e-06,1.922966493e-08,711,307200,3,499726,99.85792417,0,500437,36974123188.7393
97,1.315300407e-06,1.921561169e-08,716,307200,2,499687,99.85691533,0,500403,37261369117.51884
98,1.334516019e-06,1.920233768e-08,678,307200,2,499701,99.86450271,0,500379,35308201079.40108
99,1.353718356e-06,1.918948246e-08,707,307200,3,499654,99.85870202,0,500361,36843098894.08033
100,1.372907839e-06,1.917692712e-08,729,307200,2,499562,99.85428481,0,500291,38014432418.61786
101,1.392084766e-06,1.916481873e-08,673,307200,2,487100,99.86202598,0,487773,35116429196.71904
102,1.411249585e-06,1.915389329e-08,713,307200,2,487016,99.85381226,0,487729,37224807990.98155
103,1.430403478e-06,1.914366743e-08,658,307200,3,487002,99.86506993,0,487660,34371679429.03404
104,1.449547145e-06,1.913355539e-08,716,307200,2,486935,99.85317368,0,487651,37421168486.76288
105,1.468680701e-06,1.912326618e-08,697,307200,2,486937,99.85706493,0,487634,36447748697.2887
106,1.487803967e-06,1.911251142e-08,660,307200,2,486957,99.86464787,0,487617,34532353467.130066
107,1.506916478e-06,1.910106251e-08,684,307200,3,474473,99.85604758,0,475157,35809526283.781586
108,1.526017541e-06,1.908875843e-08,666,307200,3,474443,99.85982164,0,475109,34889644732.122055
109,1.545106299e-06,1.905985385e-08,694,307200,3,474357,99.85391042,0,475051,36411611834.054016
110,1.564166153e-06,1.902727034e-08,740,307200,3,474272,99.84421446,0,475012,38891548118.93002
111,1.583193424e-06,1.899453205e-08,712,307200,3,474205,99.85007907,0,474917,37484471748.27874
112,1.602187956e-06,1.896510019e-08,685,307200,3,474212,99.8557582,0,474897,36118976073.808975
113,1.621153056e-06,1.893912481e-08,684,307200,3,461752,99.85208764,0,462436,36115713205.44035
114,1.640092181e-06,1.89160503e-08,610,307200,3,461787,99.86807873,0,462397,32247746771.956936
115,1.659008231e-06,1.88944973e-08,818,307200,2,473951,99.82770568,0,474769,43293027965.34312
116,1.677902728e-06,1.887225989e-08,800,307200,2,473985,99.83150268,0,474785,42390259813.23533
117,1.696774988e-06,1.880976697e-08,815,307200,2,473920,99.82832528,0,474735,43328553793.34878
118,1.715584755e-06,1.875393449e-08,770,307200,3,461466,99.83341843,0,462236,41058051067.12837
119,1.73433869e-06,1.871662881e-08,850,307200,2,461330,99.81608897,0,462180,45414161312.31167
120,1.753055318e-06,1.868520812e-08,807,307200,3,461332,99.82537721,0,462139,43189243321.09607
121,1.771740526e-06,1.865522556e-08,773,307200,2,461282,99.8327039,0,462055,41436111158.97974
122,1.790395752e-06,1.862581651e-08,781,307200,2,461220,99.83095275,0,462001,41931047671.42367
123,1.809021568e-06,1.860061272e-08,774,307200,2,448858,99.82785923,0,449632,41611532461.388725
124,1.827622181e-06,1.859269817e-08,784,307200,2,448822,99.8256251,0,449606,42167091232.89124
125,1.846214879e-06,1.85910178e-08,812,307200,2,448730,99.81937172,0,449542,43677006215.33481
126,1.864805897e-06,1.859015364e-08,780,307200,2,448709,99.82646961,0,449489,41957695192.02317
127,1.883396051e-06,1.858957737e-08,758,307200,2,448693,99.8313498,0,449451,40775537007.27302
128,1.901985628e-06,1.858604786e-08,802,307200,2,448636,99.82155492,0,449438,43150647520.177
129,1.920571676e-06,1.854937763e-08,729,307200,2,448690,99.83779057,0,449419,39300509943.84764
130,1.939121054e-06,1.851484277e-08,782,307200,3,448604,99.82598479,0,449386,42236383517.50367
131,1.957635896e-06,1.848257866e-08,791,307200,2,436190,99.81898526,0,436981,42797058492.26993
132,1.976118475e-06,1.846437819e-08,770,307200,2,436132,99.8237591,0,436902,41701918801.52342
133,1.994582853e-06,1.844411035e-08,760,307200,3,436065,99.82601728,0,436825,41205565656.35599
134,2.013026964e-06,1.842090013e-08,746,307200,3,436046,99.82920933,0,436792,40497478121.87938
135,2.031447864e-06,1.83947029e-08,772,307200,2,435987,99.82324348,0,436759,41968603907.16068
136,2.049842567e-06,1.836572966e-08,763,307200,2,435947,99.82528451,0,436710,41544769204.6666
137,2.068208296e-06,1.83353965e-08,728,307200,3,423682,99.82846776,0,424410,39704622695.23323
138,2.086543693e-06,1.835163152e-08,732,307200,2,423615,99.82749966,0,424347,39887461733.42957
139,2.104895324e-06,1.831203947e-08,746,307200,2,423486,99.82415282,0,424232,40738225866.220245
140,2.123207364e-06,1.827032886e-08,761,307200,2,423400,99.82058699,0,424161,41652233292.094124
141,2.141477693e-06,1.828486838e-08,709,307200,2,423405,99.83282797,0,424114,38775231260.37399
142,2.159762561e-06,1.827389842e-08,725,307200,2,423339,99.82903524,0,424064,39674074099.40063
143,2.17803646e-06,1.823513241e-08,673,307200,2,423369,99.84128931,0,424042,36906778896.26577
144,2.196271592e-06,1.819959668e-08,735,307200,3,423258,99.82664808,0,423993,40385510345.27651
145,2.214471189e-06,1.816598174e-08,679,307200,2,410979,99.83505726,0,411658,37377556012.00995
146,2.23263717e-06,1.813386296e-08,724,307200,2,410809,99.82407243,0,411533,39925304475.77619
147,2.250771033e-06,1.81025474e-08,706,307200,2,410752,99.82841505,0,411458,39000035983.88589
148,2.268873581e-06,1.807258352e-08,728,307200,2,410662,99.82303897,0,411390,40282010548.98209
149,2.286946164e-06,1.804312547e-08,769,307200,2,410591,99.81305912,0,411360,42620110428.12972
150,2.30498929e-06,1.801058769e-08,715,307200,2,410598,99.82616645,0,411313,39698871147.71878
151,2.322999877e-06,1.798014367e-08,773,307200,2,410521,99.81205658,0,411294,42991870042.15968
152,2.340980021e-06,1.795233983e-08,716,307200,2,398273,99.82054643,0,398989,39883380482.99969
153,2.358932361e-06,1.792297005e-08,718,307200,2,398126,99.81997974,0,398844,40060324711.64008
154,2.376855331e-06,1.78906107e-08,727,307200,2,398067,99.81770037,0,398794,40635840340.54243
155,2.394745942e-06,1.785538809e-08,696,307200,3,398025,99.82544185,0,398721,38979830429.437614
156,2.41260133e-06,1.781428192e-08,687,307200,2,397963,99.82766838,0,398650,38564563145.74818
157,2.430415612e-06,1.776827254e-08,708,307200,2,397874,99.8223703,0,398582,39846304608.7428
158,2.448183884e-06,1.772607294e-08,704,307200,3,397843,99.82335835,0,398547,39715508470.65396
159,2.465909957e-06,1.768870582e-08,716,307200,2,385566,99.81464319,0,386282,40477805854.53821
160,2.483598663e-06,1.765211099e-08,682,307200,2,385453,99.82337783,0,386135,38635605701.004036
161,2.501250774e-06,1.761533532e-08,670,307200,2,385410,99.82646084,0,386080,38035040936.13814
162,2.518866109e-06,1.757785986e-08,686,307200,2,385269,99.82225907,0,385955,39026366432.75639
163,2.536443969e-06,1.753992318e-08,709,307200,2,385179,99.81626793,0,385888,40422069853.10183
164,2.553983892e-06,1.750145332e-08,697,307200,2,385143,99.81935517,0,385840,39825264065.5559
165,2.571485346e-06,1.746249112e-08,621,307200,2,385167,99.83903076,0,385788,35561936480.45789
166,2.588947837e-06,1.742202953e-08,646,307200,2,372872,99.82704983,0,373518,37079491737.03415
167,2.606369866e-06,1.738203581e-08,638,307200,2,372756,99.82913491,0,373394,36704561362.88445
168,2.623751902e-06,1.734311861e-08,651,307200,2,372725,99.82564493,0,373376,37536501631.52519
169,2.641095021e-06,1.730445947e-08,701,307200,2,372607,99.8122194,0,373308,40509788890.85173
170,2.65839948e-06,1.726617211e-08,678,307200,3,372513,99.81832359,0,373191,39267533978.03354
171,2.675665652e-06,1.722870152e-08,734,307200,2,372362,99.80326779,0,373096,42603326730.568375
172,2.692894354e-06,1.719248122e-08,642,307200,2,372387,99.82789542,0,373029,37341904974.90041
173,2.710086835e-06,1.715785491e-08,665,307200,2,360218,99.81572975,0,360883,38757758676.02322
174,2.72724469e-06,1.712468454e-08,670,307200,2,360048,99.81425934,0,360718,39124808310.191505
175,2.744369374e-06,1.709332547e-08,632,307200,2,360045,99.82477397,0,360677,36973495947.83092
176,2.7614627e-06,1.706456802e-08,643,307200,2,360005,99.82170981,0,360648,37680414719.34079
177,2.778527268e-06,1.703845956e-08,687,307200,2,359878,99.8094657,0,360565,40320546442.638626
178,2.795565728e-06,1.701488334e-08,635,307200,2,359904,99.82387481,0,360539,37320267633.40712
179,2.812580611e-06,1.699366049e-08,629,307200,3,359857,99.82551333,0,360486,37013802904.33235
180,2.829574271e-06,1.697457842e-08,637,307200,3,359778,99.8232593,0,360415,37526705184.58744
181,2.84654885e-06,1.695740669e-08,646,307200,2,359726,99.82074079,0,360372,38095447718.48602
182,2.863506256e-06,1.694186359e-08,637,307200,2,359650,99.82319651,0,360287,37599169454.76953
183,2.88044812e-06,1.692843263e-08,686,307200,2,347462,99.80295736,0,348148,40523539006.45792
184,2.897376553e-06,1.691673124e-08,632,307200,2,347404,99.81840959,0,348036,37359463304.92155
185,2.914293284e-06,1.690601962e-08,669,307200,2,347334,99.80776028,0,348003,39571703750.33553
186,2.931199304e-06,1.689545313e-08,648,307200,2,347319,99.81377544,0,347967,38353514109.035324
187,2.948094757e-06,1.688444969e-08,616,307200,2,347298,99.82294475,0,347914,36483273740.62021
188,2.964979206e-06,1.687269293e-08,636,307200,2,347246,99.81717939,0,347882,37694042239.64621
189,2.981851899e-06,1.686007944e-08,658,307200,2,347192,99.810838,0,347850,39027099625.57566
190,2.998711979e-06,1.684667324e-08,640,307200,3,347178,99.81599572,0,347818,37989696296.85772
191,3.015558652e-06,1.683265896e-08,627,307200,2,347167,99.81972087,0,347794,37249017014.48123
192,3.032391311e-06,1.68182692e-08,610,307200,2,347151,99.82459218,0,347761,36270081822.68839
193,3.04920958e-06,1.680376523e-08,654,307200,3,347038,99.81190249,0,347692,38919848679.65214
194,3.066013345e-06,1.678938605e-08,617,307200,2,347054,99.82253337,0,347671,36749408117.874565
195,3.082802731e-06,1.677542141e-08,638,307200,2,346935,99.81644144,0,347573,38031831475.76142
196,3.099578153e-06,1.676218368e-08,620,307200,2,334840,99.81517916,0,335460,36988020882.96887
197,3.116340336e-06,1.674970169e-08,650,307200,2,334819,99.80624141,0,335469,38806661278.514984
198,3.133090038e-06,1.673779103e-08,624,307200,2,334858,99.81399896,0,335482,37280905161.35449
199,3.149827829e-06,1.672896544e-08,637,307200,2,334846,99.81012451,0,335483,38077668477.74659
200,3.166556795e-06,1.6726041e-08,610,307200,2,334852,99.81816122,0,335462,36470076810.166855
201,3.183282836e-06,1.672704274e-08,624,307200,2,334932,99.81403998,0,335556,37304860739.537994
202,3.200009878e-06,1.672351824e-08,645,307200,3,334929,99.80779202,0,335574,38568439412.303955
203,3.216733397e-06,1.670498597e-08,580,307200,2,335030,99.82718036,0,335610,34720172829.93264
204,3.233438383e-06,1.668936035e-08,635,307200,2,335012,99.81081315,0,335647,38048192781.696396
205,3.250127743e-06,1.667690938e-08,717,307200,2,346836,99.79370053,0,347553,42993577746.47811
206,3.266804652e-06,1.666669635e-08,746,307200,2,346757,99.78532559,0,347503,44759920282.58197
207,3.283471349e-06,1.665803197e-08,746,307200,2,346657,99.7852638,0,347403,44783201361.57117
208,3.300129381e-06,1.66500795e-08,699,307200,2,346664,99.79876959,0,347363,41981781528.430534
209,3.31677946e-06,1.66419718e-08,690,307200,2,346630,99.80133594,0,347320,41461433073.69383
210,3.333421432e-06,1.663323861e-08,719,307200,2,346502,99.79292727,0,347221,43226699072.767044
211,3.350054671e-06,1.662377228e-08,718,307200,2,334527,99.78582827,0,335245,43191159497.76473
212,3.366678443e-06,1.661356085e-08,656,307200,2,334508,99.80427492,0,335164,39485815589.01625
213,3.383292004e-06,1.660273303e-08,679,307200,2,334469,99.79740294,0,335148,40896881180.53176
214,3.399894737e-06,1.660474594e-08,664,307200,2,334468,99.80186911,0,335132,39988567268.6179
215,3.416499483e-06,1.659266889e-08,696,307200,2,334413,99.79230638,0,335109,41946235690.839485
216,3.433092152e-06,1.657900624e-08,683,307200,2,334386,99.79616139,0,335069,41196679108.0718
217,3.449671158e-06,1.656369747e-08,687,307200,2,334345,99.79494496,0,335032,41476246547.26322
218,3.466234855e-06,1.654740844e-08,675,307200,2,334303,99.79849423,0,334978,40791886079.775764
219,3.482782264e-06,1.653091686e-08,695,307200,2,334235,99.79249395,0,334930,42042435146.57662
220,3.499313181e-06,1.651480416e-08,712,307200,2,334138,99.78736748,0,334850,43112833376.76588
221,3.515827985e-06,1.64994606e-08,698,307200,2,334026,99.79146999,0,334724,42304413272.75875
222,3.532327445e-06,1.648511336e-08,702,307200,2,333961,99.79023675,0,334663,42583874594.5997
223,3.548812559e-06,1.647180004e-08,644,307200,2,333979,99.80754461,0,334623,39097123473.822845
224,3.565284359e-06,1.645946995e-08,672,307200,2,333902,99.79914757,0,334574,40827560185.19296
225,3.581743829e-06,1.644804312e-08,698,307200,2,333836,99.79135155,0,334534,42436659176.26801
226,3.598191872e-06,1.643742973e-08,708,307200,2,321911,99.78054609,0,322619,43072427479.81621
227,3.614629302e-06,1.642756475e-08,631,307200,2,321938,99.80438294,0,322569,38411049330.97281
228,3.631056866e-06,1.641839975e-08,656,307200,2,321874,99.79660807,0,322530,39955172854.16321
229,3.647475266e-06,1.64098905e-08,683,307200,2,321822,99.78822034,0,322505,41621240556.114624
230,3.663885157e-06,1.640114249e-08,625,307200,2,321829,99.8061739,0,322454,38107101403.51936
231,3.680286299e-06,1.639279822e-08,721,307200,2,321720,99.7763932,0,322441,43982728898.61752
232,3.696679097e-06,1.638315971e-08,647,307200,2,321737,99.79930766,0,322384,39491771517.376
233,3.713062257e-06,1.637147642e-08,681,307200,2,321648,99.78872518,0,322329,41596737064.47546
234,3.729433733e-06,1.635895411e-08,685,307200,2,321606,99.78745916,0,322291,41873092582.44505
235,3.745792687e-06,1.634577005e-08,644,307200,2,321524,99.80010429,0,322168,39398572109.4859
236,3.762138458e-06,1.633226233e-08,603,307200,2,321526,99.81280791,0,322129,36920788303.30666
237,3.77847072e-06,1.631888009e-08,669,307200,2,321416,99.79229085,0,322085,40995460246.68412
238,3.7947896e-06,1.630607232e-08,677,307200,2,321353,99.78977114,0,322030,41518275321.86488
239,3.811095672e-06,1.6294243e-08,710,307200,2,321286,99.77950037,0,321996,43573672001.82297
240,3.827389915e-06,1.628376439e-08,639,307200,2,321260,99.80149053,0,321899,39241540512.11987
241,3.84367368e-06,1.62749507e-08,644,307200,2,321211,99.7999099,0,321855,39570012338.04044
242,3.85994863e-06,1.626774583e-08,717,307200,2,321116,99.77721365,0,321833,44074944832.1077
243,3.876216376e-06,1.626209939e-08,639,307200,2,309351,99.79386432,0,309990,39293819615.50046
244,3.892478476e-06,1.625795155e-08,625,307200,2,309346,99.79836823,0,309971,38442727429.58199
245,3.908736427e-06,1.625507744e-08,635,307200,2,309313,99.79512692,0,309948,39064716999.588776
246,3.924991505e-06,1.625317558e-08,616,307200,2,309267,99.8012153,0,309883,37900285822.17531
247,3.94124468e-06,1.625122352e-08,645,307200,3,309189,99.79182401,0,309834,39689319343.01523
248,3.957495904e-06,1.624891847e-08,670,307200,2,309151,99.7837461,0,309821,41233513555.81022
249,3.973744822e-06,1.624642164e-08,677,307200,2,309127,99.78147474,0,309804,41670714634.97977
250,3.989991244e-06,1.624358534e-08,646,307200,2,309146,99.79147299,0,309792,39769545114.47778
251,4.006234829e-06,1.624014736e-08,615,307200,2,309166,99.80147265,0,309781,37869114507.837814
252,4.022474976e-06,1.623570825e-08,674,307200,2,309051,99.7823876,0,309725,41513433822.63598
253,4.038710685e-06,1.622968718e-08,635,307200,2,308975,99.79490327,0,309610,39125831136.32138
254,4.054940372e-06,1.622228956e-08,639,307200,2,308910,99.79357065,0,309549,39390247451.60571
255,4.071162661e-06,1.621333334e-08,613,307200,2,308915,99.80195653,0,309528,37808388142.348526
256,4.087375995e-06,1.620397985e-08,629,307200,2,308834,99.79674468,0,309463,38817624177.68003
257,4.103579975e-06,1.619438306e-08,646,307200,2,308810,99.79124657,0,309456,39890374187.55488
258,4.119774358e-06,1.618465517e-08,630,307200,2,308761,99.79637417,0,309391,38925759825.13194
259,4.135959013e-06,1.617480558e-08,647,307200,2,308655,99.79081933,0,309302,40000480797.12375
260,4.152133818e-06,1.616483702e-08,665,307200,2,308561,99.78494693,0,309226,41138676447.97324
261,4.168298655e-06,1.615477974e-08,616,307200,2,308558,99.80075944,0,309174,38131129604.61819
262,4.184453435e-06,1.614468678e-08,609,307200,2,308554,99.80301653,0,309163,37721388361.30459
263,4.200598122e-06,1.613462075e-08,625,307200,2,296779,99.78984815,0,297404,38736578298.563354
264,4.216732743e-06,1.612477482e-08,643,307200,2,296709,99.78375797,0,297352,39876525854.021194
265,4.232857518e-06,1.611512995e-08,675,307200,2,296641,99.77296883,0,297316,41886103437.84414
266,4.248972648e-06,1.610561623e-08,671,307200,2,296621,99.77429598,0,297292,41662485335.40278
267,4.265078264e-06,1.609618696e-08,621,307200,3,296624,99.79108143,0,297245,38580565791.34068
268,4.281174451e-06,1.608681356e-08,623,307200,2,296580,99.79037897,0,297203,38727371189.84799
269,4.297261264e-06,1.607750484e-08,636,307200,2,296532,99.78597965,0,297168,39558377144.29822
270,4.313338769e-06,1.606830508e-08,621,307200,2,296474,99.79097595,0,297095,38647511166.12481
271,4.329407074e-06,1.605925992e-08,657,307200,2,296374,99.77881097,0,297031,40910976176.541016
272,4.345466334e-06,1.605033326e-08,666,307200,2,296274,99.77571227,0,296940,41494465517.40945
273,4.361516667e-06,1.604147622e-08,599,307200,2,296325,99.79826488,0,296924,37340703049.086334
274,4.377558144e-06,1.603283539e-08,611,307200,2,296281,99.79420126,0,296892,38109291659.10934
275,4.393590979e-06,1.601465286e-08,601,307200,2,296222,99.79752243,0,296823,37528131596.35357
276,4.409605632e-06,1.599601421e-08,639,307200,2,296087,99.78464981,0,296726,39947451384.51587
277,4.425601646e-06,1.59772393e-08,594,307200,2,296083,99.79978225,0,296677,37177887171.033356
278,4.441578885e-06,1.59591759e-08,697,307200,2,295892,99.76499466,0,296589,43673934316.37031
279,4.457538061e-06,1.59411478e-08,592,307200,2,295913,99.80034064,0,296505,37136598156.37617
280,4.473479209e-06,1.592327061e-08,644,307200,2,295835,99.78278394,0,296479,40443952487.72324
281,4.48940248e-06,1.590580501e-08,629,307200,2,295833,99.78783116,0,296462,39545310633.7307
282,4.505308285e-06,1.588894769e-08,599,307200,2,284184,99.78966441,0,284783,37699161183.40496
283,4.521197232e-06,1.587273768e-08,608,307200,3,284122,99.78646437,0,284730,38304671333.798546
284,4.53706997e-06,1.585737221e-08,624,307200,2,284038,99.78079266,0,284662,39350782193.6911
